semantic_source,metric,participants,mean,sample_sd,ci_low,ci_high
cornet-s,top1_accuracy,10,0.15809999999999996,0.02606594201891298,0.13945354970804855,0.17674645029195138
cornet-s,top5_accuracy,10,0.4176,0.04169252530930054,0.3877749662390211,0.447425033760979
dinov2,top1_accuracy,10,0.1281,0.023220919687021675,0.11148875593434229,0.1447112440656577
dinov2,top5_accuracy,10,0.35229999999999995,0.0415372657314422,0.3225860322422671,0.3820139677577328
