seed,participant,semantic_source,repetitions,resamples,top1_mean,top1_sd
71,sub-02,dinov2,10,10,0.051000000000000004,0.011005049346146118
71,sub-02,dinov2,20,10,0.0595,0.014804278660801633
71,sub-02,dinov2,40,10,0.06899999999999999,0.00936897954837013
71,sub-02,dinov2,80,1,0.075,0.0
71,sub-03,cornet-s,1,10,0.0215,0.008181958472422386
71,sub-03,cornet-s,2,10,0.041999999999999996,0.008563488385776754
71,sub-03,cornet-s,5,10,0.07799999999999999,0.011105554165971787
71,sub-03,cornet-s,10,10,0.10049999999999999,0.022540087745072237
71,sub-03,cornet-s,20,10,0.128,0.019321835661585914
71,sub-03,cornet-s,40,10,0.13399999999999998,0.00936897954837013
71,sub-03,cornet-s,80,1,0.15,0.0
71,sub-03,dinov2,1,10,0.0235,0.013753787357185172
71,sub-03,dinov2,2,10,0.0375,0.010865337342004415
71,sub-03,dinov2,5,10,0.054000000000000006,0.014298407059684812
71,sub-03,dinov2,10,10,0.07899999999999999,0.01021980647783726
71,sub-03,dinov2,20,10,0.0975,0.01751983003469053
71,sub-03,dinov2,40,10,0.10350000000000001,0.010554093465991708
71,sub-03,dinov2,80,1,0.115,0.0
71,sub-04,cornet-s,1,10,0.0315,0.01055409346599171
71,sub-04,cornet-s,2,10,0.056999999999999995,0.013581032524975575
71,sub-04,cornet-s,5,10,0.091,0.021576736443576345
71,sub-04,cornet-s,10,10,0.11949999999999998,0.007619419633774975
71,sub-04,cornet-s,20,10,0.14250000000000002,0.020172864061517005
71,sub-04,cornet-s,40,10,0.1665,0.01131616346451197
71,sub-04,cornet-s,80,1,0.165,0.0
71,sub-04,dinov2,1,10,0.025500000000000002,0.00895978670381041
71,sub-04,dinov2,2,10,0.030500000000000006,0.011654755824698059
71,sub-04,dinov2,5,10,0.06399999999999999,0.014102797200870789
71,sub-04,dinov2,10,10,0.061,0.012202003478482085
71,sub-04,dinov2,20,10,0.08049999999999999,0.016236105170610072
71,sub-04,dinov2,40,10,0.081,0.008096638534327412
71,sub-04,dinov2,80,1,0.08,0.0
71,sub-05,cornet-s,1,10,0.027500000000000004,0.008897565210026093
71,sub-05,cornet-s,2,10,0.036500000000000005,0.010287532908007309
71,sub-05,cornet-s,5,10,0.0665,0.012703892666773004
71,sub-05,cornet-s,10,10,0.078,0.015491933384829668
71,sub-05,cornet-s,20,10,0.1,0.012472191289246471
71,sub-05,cornet-s,40,10,0.11100000000000002,0.011254628677422758
71,sub-05,cornet-s,80,1,0.11,0.0
71,sub-05,dinov2,1,10,0.0205,0.010658851303546322
71,sub-05,dinov2,2,10,0.0225,0.012747548783981962
71,sub-05,dinov2,5,10,0.040999999999999995,0.009944289260117532
71,sub-05,dinov2,10,10,0.0485,0.01106797181058933
71,sub-05,dinov2,20,10,0.06399999999999999,0.011254628677422754
71,sub-05,dinov2,40,10,0.06899999999999999,0.00843274042711568
71,sub-05,dinov2,80,1,0.065,0.0
71,sub-06,cornet-s,1,10,0.035,0.013944333775567926
71,sub-06,cornet-s,2,10,0.055500000000000015,0.014230249470757707
71,sub-06,cornet-s,5,10,0.07650000000000001,0.009732534213770955
71,sub-06,cornet-s,10,10,0.0985,0.01795828499606797
71,sub-06,cornet-s,20,10,0.13299999999999998,0.013581032524975573
71,sub-06,cornet-s,40,10,0.14300000000000002,0.009775252199076783
71,sub-06,cornet-s,80,1,0.14,0.0
71,sub-06,dinov2,1,10,0.0215,0.010013879257199867
71,sub-06,dinov2,2,10,0.03300000000000001,0.00948683298050514
71,sub-06,dinov2,5,10,0.040999999999999995,0.009660917830792959
71,sub-06,dinov2,10,10,0.056499999999999995,0.010013879257199867
71,sub-06,dinov2,20,10,0.069,0.01577621275493231
71,sub-06,dinov2,40,10,0.078,0.0075277265270908104
71,sub-06,dinov2,80,1,0.08,0.0
71,sub-07,cornet-s,1,10,0.036500000000000005,0.017328524974093377
71,sub-07,cornet-s,2,10,0.053500000000000006,0.014346892811104895
71,sub-07,cornet-s,5,10,0.08349999999999999,0.021219749710535647
71,sub-07,cornet-s,10,10,0.10400000000000001,0.01646545204697129
71,sub-07,cornet-s,20,10,0.1255,0.008644201653259962
71,sub-07,cornet-s,40,10,0.1395,0.012349089035228468
71,sub-07,cornet-s,80,1,0.16,0.0
71,sub-07,dinov2,1,10,0.03200000000000001,0.00948683298050514
71,sub-07,dinov2,2,10,0.04150000000000001,0.015820169966779048
71,sub-07,dinov2,5,10,0.06699999999999999,0.009775252199076788
71,sub-07,dinov2,10,10,0.077,0.015311578770474467
71,sub-07,dinov2,20,10,0.0875,0.01438556375136006
71,sub-07,dinov2,40,10,0.0935,0.007472170590486631
71,sub-07,dinov2,80,1,0.105,0.0
71,sub-08,cornet-s,1,10,0.05,0.012472191289246471
71,sub-08,cornet-s,2,10,0.0615,0.019300259065618785
71,sub-08,cornet-s,5,10,0.10800000000000001,0.01946506842754191
71,sub-08,cornet-s,10,10,0.1355,0.017232076034083773
71,sub-08,cornet-s,20,10,0.15949999999999998,0.019923464669691478
71,sub-08,cornet-s,40,10,0.174,0.014298407059684812
71,sub-08,cornet-s,80,1,0.195,0.0
71,sub-08,dinov2,1,10,0.0385,0.012703892666773003
71,sub-08,dinov2,2,10,0.05,0.013333333333333334
71,sub-08,dinov2,5,10,0.0745,0.014230249470757706
71,sub-08,dinov2,10,10,0.1135,0.014151953143569184
71,sub-08,dinov2,20,10,0.127,0.009189365834726819
71,sub-08,dinov2,40,10,0.14350000000000002,0.011796892246124256
71,sub-08,dinov2,80,1,0.155,0.0
71,sub-09,cornet-s,1,10,0.019499999999999997,0.00955975359979999
71,sub-09,cornet-s,2,10,0.0395,0.007619419633774972
71,sub-09,cornet-s,5,10,0.079,0.012649110640673518
71,sub-09,cornet-s,10,10,0.10850000000000001,0.014539218991709593
71,sub-09,cornet-s,20,10,0.128,0.01946506842754191
71,sub-09,cornet-s,40,10,0.153,0.014567848922274772
71,sub-09,cornet-s,80,1,0.18,0.0
71,sub-09,dinov2,1,10,0.015999999999999997,0.011498792207106893
71,sub-09,dinov2,2,10,0.021,0.010488088481701515
71,sub-09,dinov2,5,10,0.048,0.012736648783028534
71,sub-09,dinov2,10,10,0.07749999999999999,0.012527746981977424
71,sub-09,dinov2,20,10,0.0915,0.018566696588844828
71,sub-09,dinov2,40,10,0.10300000000000001,0.011105554165971787
71,sub-09,dinov2,80,1,0.12,0.0
71,sub-10,cornet-s,1,10,0.047,0.008563488385776754
71,sub-10,cornet-s,2,10,0.07350000000000001,0.020145305491189095
71,sub-10,cornet-s,5,10,0.093,0.01398411797560202
71,sub-10,cornet-s,10,10,0.146,0.01595131481867387
71,sub-10,cornet-s,20,10,0.16349999999999998,0.015284342024147166
71,sub-10,cornet-s,40,10,0.173,0.008563488385776748
71,sub-10,cornet-s,80,1,0.185,0.0
71,sub-10,dinov2,1,10,0.029000000000000005,0.013498971154211057
71,sub-10,dinov2,2,10,0.0375,0.014577379737113252
71,sub-10,dinov2,5,10,0.062,0.012952906151816967
71,sub-10,dinov2,10,10,0.0865,0.020554804791094464
71,sub-10,dinov2,20,10,0.096,0.011498792207106891
71,sub-10,dinov2,40,10,0.1105,0.00864420165325996
71,sub-10,dinov2,80,1,0.125,0.0
101,sub-01,cornet-s,1,10,0.0315,0.013133925536563697
101,sub-01,cornet-s,2,10,0.040499999999999994,0.016741498671796914
101,sub-01,cornet-s,5,10,0.08199999999999999,0.012292725943057184
101,sub-01,cornet-s,10,10,0.1065,0.01826502425706331
101,sub-01,cornet-s,20,10,0.1425,0.012304019216861167
101,sub-01,cornet-s,40,10,0.1685,0.020145305491189088
101,sub-01,cornet-s,80,1,0.205,0.0
101,sub-01,dinov2,1,10,0.031,0.011254628677422754
101,sub-01,dinov2,2,10,0.029000000000000005,0.00737864787372622
101,sub-01,dinov2,5,10,0.0465,0.011559027256266468
101,sub-01,dinov2,10,10,0.05900000000000001,0.017606816861659005
101,sub-01,dinov2,20,10,0.0745,0.014424131015612534
101,sub-01,dinov2,40,10,0.07849999999999999,0.010814085465005554
101,sub-01,dinov2,80,1,0.085,0.0
101,sub-02,cornet-s,1,10,0.028000000000000004,0.014375905768565216
101,sub-02,cornet-s,2,10,0.039,0.014681810363696828
101,sub-02,cornet-s,5,10,0.073,0.017191729277636836
101,sub-02,cornet-s,10,10,0.08549999999999999,0.022292250771163605
101,sub-02,cornet-s,20,10,0.11600000000000002,0.016633299933166205
101,sub-02,cornet-s,40,10,0.1335,0.01841647812874836
101,sub-02,cornet-s,80,1,0.14,0.0
101,sub-02,dinov2,1,10,0.0165,0.007090682462060883
101,sub-02,dinov2,2,10,0.030000000000000006,0.008819171036881969
101,sub-02,dinov2,5,10,0.046000000000000006,0.008755950357709132
101,sub-02,dinov2,10,10,0.051000000000000004,0.011005049346146118
101,sub-02,dinov2,20,10,0.0595,0.014804278660801633
101,sub-02,dinov2,40,10,0.06899999999999999,0.00936897954837013
101,sub-02,dinov2,80,1,0.075,0.0
101,sub-03,cornet-s,1,10,0.0215,0.008181958472422386
101,sub-03,cornet-s,2,10,0.041999999999999996,0.008563488385776754
101,sub-03,cornet-s,5,10,0.07799999999999999,0.011105554165971787
101,sub-03,cornet-s,10,10,0.10049999999999999,0.022540087745072237
101,sub-03,cornet-s,20,10,0.128,0.019321835661585914
101,sub-03,cornet-s,40,10,0.13399999999999998,0.00936897954837013
101,sub-03,cornet-s,80,1,0.15,0.0
101,sub-03,dinov2,1,10,0.018999999999999996,0.0107496769977314
101,sub-03,dinov2,2,10,0.025,0.00881917103688197
101,sub-03,dinov2,5,10,0.046,0.010749676997731399
101,sub-03,dinov2,10,10,0.053000000000000005,0.007149203529842406
101,sub-03,dinov2,20,10,0.07,0.009718253158075502
101,sub-03,dinov2,40,10,0.07550000000000001,0.01279105590289993
101,sub-03,dinov2,80,1,0.075,0.0
101,sub-04,cornet-s,1,10,0.0345,0.011413929112175954
101,sub-04,cornet-s,2,10,0.0495,0.012572014777097405
101,sub-04,cornet-s,5,10,0.0905,0.018922355972646628
101,sub-04,cornet-s,10,10,0.10900000000000001,0.012427567921538166
101,sub-04,cornet-s,20,10,0.138,0.015129074290546957
101,sub-04,cornet-s,40,10,0.1605,0.011167910378500637
101,sub-04,cornet-s,80,1,0.175,0.0
101,sub-04,dinov2,1,10,0.025,0.009428090415820633
101,sub-04,dinov2,2,10,0.0375,0.011365151414154881
101,sub-04,dinov2,5,10,0.067,0.009775252199076786
101,sub-04,dinov2,10,10,0.0785,0.015643600040343087
101,sub-04,dinov2,20,10,0.09,0.012909944487358056
101,sub-04,dinov2,40,10,0.0985,0.011316163464511973
101,sub-04,dinov2,80,1,0.1,0.0
101,sub-05,cornet-s,1,10,0.030500000000000006,0.010394977419675117
101,sub-05,cornet-s,2,10,0.034,0.011254628677422754
101,sub-05,cornet-s,5,10,0.06599999999999999,0.016295875415440423
101,sub-05,cornet-s,10,10,0.08399999999999999,0.013498971154211056
101,sub-05,cornet-s,20,10,0.1045,0.019783550967631895
101,sub-05,cornet-s,40,10,0.12249999999999998,0.009204467514322719
101,sub-05,cornet-s,80,1,0.13,0.0
101,sub-05,dinov2,1,10,0.017499999999999998,0.010069204977995476
101,sub-05,dinov2,2,10,0.0225,0.008897565210026093
101,sub-05,dinov2,5,10,0.041999999999999996,0.01273664878302853
101,sub-05,dinov2,10,10,0.0485,0.011067971810589326
101,sub-05,dinov2,20,10,0.06499999999999999,0.013743685418725534
101,sub-05,dinov2,40,10,0.0695,0.01091634859587521
101,sub-05,dinov2,80,1,0.07,0.0
101,sub-06,cornet-s,1,10,0.0335,0.01203005495507906
101,sub-06,cornet-s,2,10,0.05450000000000001,0.011654755824698059
101,sub-06,cornet-s,5,10,0.0765,0.009143911149563469
101,sub-06,cornet-s,10,10,0.09999999999999999,0.02
101,sub-06,cornet-s,20,10,0.1315,0.014151953143569186
101,sub-06,cornet-s,40,10,0.1395,0.009559753599799985
101,sub-06,cornet-s,80,1,0.14,0.0
101,sub-06,dinov2,1,10,0.023,0.008563488385776752
101,sub-06,dinov2,2,10,0.03350000000000001,0.008514693182963202
101,sub-06,dinov2,5,10,0.053000000000000005,0.01206464071390257
101,sub-06,dinov2,10,10,0.0665,0.015465014279549393
101,sub-06,dinov2,20,10,0.08600000000000001,0.017126976771553504
101,sub-06,dinov2,40,10,0.094,0.008096638534327412
101,sub-06,dinov2,80,1,0.08,0.0
101,sub-07,cornet-s,1,10,0.0295,0.012122064363978788
101,sub-07,cornet-s,2,10,0.05600000000000001,0.011972189997378648
101,sub-07,cornet-s,5,10,0.075,0.019720265943665386
101,sub-07,cornet-s,10,10,0.0995,0.015174906186786715
101,sub-07,cornet-s,20,10,0.10900000000000001,0.013703203194062978
101,sub-07,cornet-s,40,10,0.11900000000000002,0.01370320319406298
101,sub-07,cornet-s,80,1,0.12,0.0
101,sub-07,dinov2,1,10,0.030000000000000006,0.013333333333333332
101,sub-07,dinov2,2,10,0.041499999999999995,0.013954290459289653
101,sub-07,dinov2,5,10,0.057999999999999996,0.019607254893136992
101,sub-07,dinov2,10,10,0.07749999999999999,0.015138251770487459
101,sub-07,dinov2,20,10,0.0925,0.014191155304938667
101,sub-07,dinov2,40,10,0.10400000000000001,0.0077459666924148355
101,sub-07,dinov2,80,1,0.1,0.0
101,sub-08,cornet-s,1,10,0.05,0.012472191289246471
101,sub-08,cornet-s,2,10,0.0615,0.019300259065618785
101,sub-08,cornet-s,5,10,0.10800000000000001,0.01946506842754191
101,sub-08,cornet-s,10,10,0.1355,0.017232076034083773
101,sub-08,cornet-s,20,10,0.15949999999999998,0.019923464669691478
101,sub-08,cornet-s,40,10,0.174,0.014298407059684812
101,sub-08,cornet-s,80,1,0.195,0.0
101,sub-08,dinov2,1,10,0.0385,0.012703892666773003
101,sub-08,dinov2,2,10,0.05,0.013333333333333334
101,sub-08,dinov2,5,10,0.0745,0.014230249470757706
101,sub-08,dinov2,10,10,0.1135,0.014151953143569184
101,sub-08,dinov2,20,10,0.127,0.009189365834726819
101,sub-08,dinov2,40,10,0.14350000000000002,0.011796892246124256
101,sub-08,dinov2,80,1,0.155,0.0
101,sub-09,cornet-s,1,10,0.016999999999999998,0.007149203529842406
101,sub-09,cornet-s,2,10,0.0355,0.0132182533725989
101,sub-09,cornet-s,5,10,0.0665,0.014151953143569188
101,sub-09,cornet-s,10,10,0.0895,0.020876621693495655
101,sub-09,cornet-s,20,10,0.11399999999999999,0.017606816861659012
101,sub-09,cornet-s,40,10,0.12050000000000001,0.015714466088430894
101,sub-09,cornet-s,80,1,0.135,0.0
101,sub-09,dinov2,1,10,0.013500000000000002,0.010013879257199869
101,sub-09,dinov2,2,10,0.0185,0.013133925536563697
101,sub-09,dinov2,5,10,0.038,0.014944341180973262
101,sub-09,dinov2,10,10,0.060999999999999985,0.015599145275730121
101,sub-09,dinov2,20,10,0.07749999999999999,0.020982797186690286
101,sub-09,dinov2,40,10,0.07849999999999999,0.010814085465005558
101,sub-09,dinov2,80,1,0.065,0.0
101,sub-10,cornet-s,1,10,0.047,0.008563488385776754
101,sub-10,cornet-s,2,10,0.07350000000000001,0.020145305491189095
101,sub-10,cornet-s,5,10,0.093,0.01398411797560202
101,sub-10,cornet-s,10,10,0.146,0.01595131481867387
101,sub-10,cornet-s,20,10,0.16349999999999998,0.015284342024147166
101,sub-10,cornet-s,40,10,0.173,0.008563488385776748
101,sub-10,cornet-s,80,1,0.185,0.0
101,sub-10,dinov2,1,10,0.029000000000000005,0.013498971154211057
101,sub-10,dinov2,2,10,0.0375,0.014577379737113252
101,sub-10,dinov2,5,10,0.062,0.012952906151816967
101,sub-10,dinov2,10,10,0.0865,0.020554804791094464
101,sub-10,dinov2,20,10,0.096,0.011498792207106891
101,sub-10,dinov2,40,10,0.1105,0.00864420165325996
101,sub-10,dinov2,80,1,0.125,0.0
