seed,participant,semantic_source,repetitions,resamples,top1_mean,top1_sd
17,sub-07,cornet-s,20,10,0.1295,0.012122064363978788
17,sub-07,cornet-s,40,10,0.14,0.010274023338281625
17,sub-07,cornet-s,80,1,0.155,0.0
17,sub-07,dinov2,1,10,0.044,0.013291601358251259
17,sub-07,dinov2,2,10,0.073,0.016020819787597222
17,sub-07,dinov2,5,10,0.11300000000000002,0.018135294011647263
17,sub-07,dinov2,10,10,0.137,0.014567848922274773
17,sub-07,dinov2,20,10,0.16199999999999998,0.018287822299126934
17,sub-07,dinov2,40,10,0.164,0.008755950357709132
17,sub-07,dinov2,80,1,0.2,0.0
17,sub-08,cornet-s,1,10,0.051500000000000004,0.012703892666773004
17,sub-08,cornet-s,2,10,0.06050000000000001,0.018020050561034014
17,sub-08,cornet-s,5,10,0.10400000000000001,0.019550504398153572
17,sub-08,cornet-s,10,10,0.1315,0.01972730763856707
17,sub-08,cornet-s,20,10,0.146,0.014681810363696828
17,sub-08,cornet-s,40,10,0.16949999999999998,0.017070116838759156
17,sub-08,cornet-s,80,1,0.155,0.0
17,sub-08,dinov2,1,10,0.0505,0.016236105170610072
17,sub-08,dinov2,2,10,0.07749999999999999,0.01620185174601965
17,sub-08,dinov2,5,10,0.12649999999999997,0.017328524974093373
17,sub-08,dinov2,10,10,0.14799999999999996,0.01843908891458577
17,sub-08,dinov2,20,10,0.175,0.020682789409984755
17,sub-08,dinov2,40,10,0.183,0.009189365834726817
17,sub-08,dinov2,80,1,0.185,0.0
17,sub-09,cornet-s,1,10,0.019499999999999997,0.00955975359979999
17,sub-09,cornet-s,2,10,0.0395,0.007619419633774972
17,sub-09,cornet-s,5,10,0.079,0.012649110640673518
17,sub-09,cornet-s,10,10,0.10850000000000001,0.014539218991709593
17,sub-09,cornet-s,20,10,0.128,0.01946506842754191
17,sub-09,cornet-s,40,10,0.153,0.014567848922274772
17,sub-09,cornet-s,80,1,0.18,0.0
17,sub-09,dinov2,1,10,0.025500000000000002,0.00864420165325996
17,sub-09,dinov2,2,10,0.0485,0.01528434202414717
17,sub-09,dinov2,5,10,0.078,0.023475755815545344
17,sub-09,dinov2,10,10,0.09949999999999999,0.015714466088430887
17,sub-09,dinov2,20,10,0.12699999999999997,0.020575065816014614
17,sub-09,dinov2,40,10,0.135,0.013944333775567926
17,sub-09,dinov2,80,1,0.14,0.0
17,sub-10,cornet-s,1,10,0.0435,0.01131616346451197
17,sub-10,cornet-s,2,10,0.06650000000000002,0.019867617426914137
17,sub-10,cornet-s,5,10,0.0905,0.013426756040748552
17,sub-10,cornet-s,10,10,0.1365,0.019443650777453175
17,sub-10,cornet-s,20,10,0.16499999999999998,0.014529663145135579
17,sub-10,cornet-s,40,10,0.17650000000000002,0.01780293359096878
17,sub-10,cornet-s,80,1,0.19,0.0
17,sub-10,dinov2,1,10,0.05700000000000001,0.015129074290546957
17,sub-10,dinov2,2,10,0.074,0.013904435743076139
17,sub-10,dinov2,5,10,0.1095,0.01802005056103401
17,sub-10,dinov2,10,10,0.1345,0.014230249470757707
17,sub-10,dinov2,20,10,0.16350000000000003,0.015284342024147168
17,sub-10,dinov2,40,10,0.178,0.010593499054713802
17,sub-10,dinov2,80,1,0.195,0.0
29,sub-01,cornet-s,1,10,0.0315,0.013133925536563697
29,sub-01,cornet-s,2,10,0.040499999999999994,0.016741498671796914
29,sub-01,cornet-s,5,10,0.08199999999999999,0.012292725943057184
29,sub-01,cornet-s,10,10,0.1065,0.01826502425706331
29,sub-01,cornet-s,20,10,0.1425,0.012304019216861167
29,sub-01,cornet-s,40,10,0.1685,0.020145305491189088
29,sub-01,cornet-s,80,1,0.205,0.0
29,sub-01,dinov2,1,10,0.026500000000000003,0.008181958472422386
29,sub-01,dinov2,2,10,0.028500000000000004,0.015101508386765728
29,sub-01,dinov2,5,10,0.05800000000000001,0.01398411797560202
29,sub-01,dinov2,10,10,0.067,0.012292725943057184
29,sub-01,dinov2,20,10,0.0985,0.02000694323923017
29,sub-01,dinov2,40,10,0.11300000000000002,0.014567848922274772
29,sub-01,dinov2,80,1,0.115,0.0
29,sub-02,cornet-s,1,10,0.028000000000000004,0.014375905768565216
29,sub-02,cornet-s,2,10,0.039,0.014681810363696828
29,sub-02,cornet-s,5,10,0.073,0.017191729277636836
29,sub-02,cornet-s,10,10,0.08549999999999999,0.022292250771163605
29,sub-02,cornet-s,20,10,0.11600000000000002,0.016633299933166205
29,sub-02,cornet-s,40,10,0.1335,0.01841647812874836
29,sub-02,cornet-s,80,1,0.14,0.0
29,sub-02,dinov2,1,10,0.013000000000000001,0.007149203529842405
29,sub-02,dinov2,2,10,0.026500000000000003,0.009442810316143531
29,sub-02,dinov2,5,10,0.041999999999999996,0.008563488385776752
29,sub-02,dinov2,10,10,0.040999999999999995,0.01021980647783726
29,sub-02,dinov2,20,10,0.05500000000000001,0.01027402333828163
29,sub-02,dinov2,40,10,0.06849999999999999,0.010814085465005556
29,sub-02,dinov2,80,1,0.08,0.0
29,sub-03,cornet-s,1,10,0.03200000000000001,0.019748417658131498
29,sub-03,cornet-s,2,10,0.044,0.011498792207106895
29,sub-03,cornet-s,5,10,0.08099999999999999,0.011737877907772674
29,sub-03,cornet-s,10,10,0.1105,0.019783550967631895
29,sub-03,cornet-s,20,10,0.1355,0.018325756009871276
29,sub-03,cornet-s,40,10,0.145,0.014719601443879743
29,sub-03,cornet-s,80,1,0.145,0.0
29,sub-03,dinov2,1,10,0.0225,0.011118053386771945
29,sub-03,dinov2,2,10,0.026000000000000002,0.0107496769977314
29,sub-03,dinov2,5,10,0.0465,0.014916433890176299
