seed,participant,stage,predecessor,baseline_id,semantic_source,preprocessing,ridge_alpha,retrieval,candidate_count,metric,score,change_from_predecessor,change_from_baseline,configuration_hash
17,sub-07,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.2,0.0,0.085,6b79453fbf9f0f98
17,sub-07,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.445,0.0,0.135,6b79453fbf9f0f98
17,sub-08,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.155,-0.0050000000000000044,0.06,f17381c90cad26d8
17,sub-08,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.47,-0.0050000000000000044,0.19499999999999995,f17381c90cad26d8
17,sub-08,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.185,-0.01999999999999999,0.09,6cee87a0b85e3f18
17,sub-08,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.47,-0.015000000000000013,0.19499999999999995,6cee87a0b85e3f18
17,sub-09,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.18,-0.0050000000000000044,0.07999999999999999,f1f0c97b7b3a6ea4
17,sub-09,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.42,0.010000000000000009,0.13,f1f0c97b7b3a6ea4
17,sub-09,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.14,-0.01999999999999999,0.04000000000000001,6cee87a0b85e3f18
17,sub-09,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.45,-0.019999999999999962,0.16000000000000003,6cee87a0b85e3f18
17,sub-10,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.19,0.0,0.09,989afa324d4430d8
17,sub-10,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.52,0.0,0.18,989afa324d4430d8
17,sub-10,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.195,-0.014999999999999986,0.095,6cee87a0b85e3f18
17,sub-10,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.49,-0.0050000000000000044,0.14999999999999997,6cee87a0b85e3f18
29,sub-01,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.205,0.0,0.11999999999999998,bdb8e6f3b8ae43b2
29,sub-01,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.435,0.0,0.11499999999999999,bdb8e6f3b8ae43b2
29,sub-01,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.115,0.0,0.03,4ea334315e5ce841
29,sub-01,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.325,0.0,0.0050000000000000044,4ea334315e5ce841
29,sub-02,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.14,0.0050000000000000044,0.08500000000000002,c36cd53c68e3f4c5
29,sub-02,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.395,-0.0050000000000000044,0.12,c36cd53c68e3f4c5
29,sub-02,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-0_remove-2_center-1,100.0,cosine,200,top1_accuracy,0.08,0.0,0.025,cfa5e33edcb13f73
29,sub-02,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-0_remove-2_center-1,100.0,cosine,200,top5_accuracy,0.245,0.0,-0.030000000000000027,cfa5e33edcb13f73
29,sub-03,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.145,0.004999999999999977,0.07999999999999999,c36cd53c68e3f4c5
29,sub-03,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.395,-0.010000000000000009,0.10000000000000003,c36cd53c68e3f4c5
29,sub-03,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.11,0.0,0.045,295115ccc9c7083f
29,sub-03,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.245,0.0,-0.04999999999999999,295115ccc9c7083f
29,sub-04,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.15,0.0,0.06999999999999999,c47c3465b3318c90
29,sub-04,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.435,0.0,0.15499999999999997,c47c3465b3318c90
29,sub-04,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-0_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.08,0.0,0.0,cad9e62227c2ad76
29,sub-04,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-0_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.265,0.0,-0.015000000000000013,cad9e62227c2ad76
29,sub-05,S3,S2,S0-cornet-ridge,cornet-s,eeg-128_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.085,0.0,0.020000000000000004,74e21506b04c4f0b
29,sub-05,S3,S2,S0-cornet-ridge,cornet-s,eeg-128_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.335,0.0,0.12500000000000003,74e21506b04c4f0b
29,sub-05,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-0_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.055,0.0,-0.010000000000000002,cad9e62227c2ad76
29,sub-05,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-0_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.195,0.0,-0.014999999999999986,cad9e62227c2ad76
29,sub-06,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.165,-0.0050000000000000044,0.095,c36cd53c68e3f4c5
29,sub-06,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.43,0.0,0.16499999999999998,c36cd53c68e3f4c5
29,sub-06,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.08,0.0,0.009999999999999995,295115ccc9c7083f
29,sub-06,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.31,0.0,0.044999999999999984,295115ccc9c7083f
29,sub-07,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.155,0.0,0.039999999999999994,c47c3465b3318c90
29,sub-07,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.405,0.0,0.09500000000000003,c47c3465b3318c90
29,sub-07,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.105,0.0049999999999999906,-0.010000000000000009,8f8edbb06f6b54f3
