seed,participant,semantic_source,s0_reference_mean,s2_reference_mean,s2_minus_s0,s2_retained,s3_reference_mean,s3_minus_s2,s3_retained
17,sub-01,cornet-s,0.021766200233216727,0.03409983604688884,0.012333635813672115,True,0.03669886547954093,0.0025990294326520905,True
17,sub-01,dinov2,0.025575918181260246,0.05991653296158938,0.03434061478032913,True,0.06203236101247622,0.0021158280508868435,True
17,sub-02,cornet-s,0.01789653418904583,0.027992144278737825,0.010095610089691995,True,0.027992144278737825,0.0,False
17,sub-02,dinov2,0.020616555757209113,0.047277457762346896,0.026660902005137783,True,0.053444878437974,0.006167420675627103,True
17,sub-03,cornet-s,0.01892430977493709,0.03331393513769431,0.01438962536275722,True,0.035188217294861344,0.0018742821571670343,True
17,sub-03,dinov2,0.022550347633200945,0.05616588635506808,0.033615538721867136,True,0.05791983394267778,0.0017539475876097027,True
17,sub-04,cornet-s,0.0211625546875685,0.03270963202609222,0.011547077338523722,True,0.03482469291669955,0.002115060890607326,True
17,sub-04,dinov2,0.023822408970953123,0.049817415853476765,0.025995006882523642,True,0.0561664343266963,0.006349018473219538,True
17,sub-05,cornet-s,0.0156597140026478,0.024728425261053687,0.009068711258405887,True,0.02738860832741524,0.0026601830663615517,True
17,sub-05,dinov2,0.019166074857308188,0.04171839518837073,0.02255232033106254,True,0.04607301612351719,0.004354620935146464,True
17,sub-06,cornet-s,0.022491057103027432,0.03530811348711609,0.01281705638408866,True,0.03875386867969524,0.003445755192579149,True
17,sub-06,dinov2,0.03125684964535277,0.06027950936812296,0.02902265972277019,True,0.06862336375671813,0.008343854388595168,True
17,sub-07,cornet-s,0.022067365440086972,0.037302839808166094,0.015235474368079122,True,0.037302839808166094,0.0,False
17,sub-07,dinov2,0.02890057164400256,0.0611839913376645,0.03228341969366194,True,0.0611839913376645,0.0,False
17,sub-08,cornet-s,0.028113903574528528,0.04878854432432906,0.020674640749800532,True,0.05531773586890765,0.006529191544578587,True
17,sub-08,dinov2,0.03325234312668227,0.08337267769623961,0.05012033456955734,True,0.08754471448486283,0.004172036788623212,True
