seed,participant,repetitions,mean_similarity_to_80,mean_feature_variance,first_last_40_similarity
29,sub-03,10,0.8567319226931894,0.06066842839365135,0.8964050337183588
29,sub-03,20,0.9306739704968059,0.04137563292768234,0.8964050337183588
29,sub-03,40,0.9748642726196397,0.03112551467916261,0.8964050337183588
29,sub-03,80,1.0,0.02616935801666064,0.8964050337183588
29,sub-04,1,0.3851533574780576,0.47797468194000287,0.8451335648370977
29,sub-04,2,0.5092018088010246,0.18857338939250243,0.8451335648370977
29,sub-04,5,0.6572928856051773,0.09675712466448905,0.8451335648370977
29,sub-04,10,0.8031708168569369,0.055734613741615424,0.8451335648370977
29,sub-04,20,0.8959016938952504,0.036922991456745005,0.8451335648370977
29,sub-04,40,0.9597846199022726,0.02694354721182624,0.8451335648370977
29,sub-04,80,1.0,0.022797916905489355,0.8451335648370977
29,sub-05,1,0.33143658439805096,0.621069779158391,0.8107999982252765
29,sub-05,2,0.4462325830336586,0.31580677700208737,0.8107999982252765
29,sub-05,5,0.6428206348682264,0.14216092563278862,0.8107999982252765
29,sub-05,10,0.7711678204424938,0.0804489874099493,0.8107999982252765
29,sub-05,20,0.8722966949983142,0.050813787931002836,0.8107999982252765
29,sub-05,40,0.9523446341364834,0.03603321007248811,0.8107999982252765
29,sub-05,80,1.0,0.029007319371399165,0.8107999982252765
29,sub-06,1,0.37694076344474053,0.4835391771073657,0.83877728871796
29,sub-06,2,0.4846343981926698,0.24957641520029092,0.83877728871796
29,sub-06,5,0.6673355275003954,0.11497763809888431,0.83877728871796
29,sub-06,10,0.7927089596217775,0.06871543138600253,0.83877728871796
29,sub-06,20,0.8918886451383295,0.044629665153413156,0.83877728871796
29,sub-06,40,0.959110581892572,0.03272015062673677,0.83877728871796
29,sub-06,80,1.0,0.027047105893481124,0.83877728871796
29,sub-07,1,0.4532969100827301,0.511708811088436,0.8944921711644848
29,sub-07,2,0.593267495885302,0.2609192504362981,0.8944921711644848
29,sub-07,5,0.7498118218906903,0.1260453645168461,0.8944921711644848
29,sub-07,10,0.8519654607307112,0.07770052778269192,0.8944921711644848
29,sub-07,20,0.9274160216809801,0.053783298741263974,0.8944921711644848
29,sub-07,40,0.9742297904984608,0.041992303409817036,0.8944921711644848
29,sub-07,80,1.0,0.03579473846307866,0.8944921711644848
29,sub-08,1,0.4383508614114202,0.5272212680025301,0.8888210347322303
29,sub-08,2,0.5610408198910609,0.2662827380531093,0.8888210347322303
29,sub-08,5,0.7385940766516161,0.1289891995394776,0.8888210347322303
29,sub-08,10,0.8400153705322119,0.08201412852968024,0.8888210347322303
29,sub-08,20,0.9232258363009436,0.05858571160194623,0.8888210347322303
29,sub-08,40,0.971271100335141,0.04655152796862526,0.8888210347322303
29,sub-08,80,1.0,0.040784817459620724,0.8888210347322303
29,sub-09,1,0.2717914905689949,0.5616168197473033,0.6852914912966565
29,sub-09,2,0.34270148463610645,0.27537544763153654,0.6852914912966565
29,sub-09,5,0.5263568628644756,0.11904536093137881,0.6852914912966565
29,sub-09,10,0.669630246920518,0.06655592869877153,0.6852914912966565
29,sub-09,20,0.8088545863205842,0.038750680077130395,0.6852914912966565
29,sub-09,40,0.9221824830331972,0.026304418766679164,0.6852914912966565
29,sub-09,80,1.0,0.019558065399864266,0.6852914912966565
29,sub-10,1,0.45083902472309645,0.46661366285714656,0.8951630921779323
29,sub-10,2,0.576340476144623,0.2664896794203523,0.8951630921779323
29,sub-10,5,0.7470245918248386,0.11714005360528032,0.8951630921779323
29,sub-10,10,0.8551529524028192,0.07011139395749426,0.8951630921779323
29,sub-10,20,0.9283304626635693,0.05070229872474017,0.8951630921779323
29,sub-10,40,0.9731789239231383,0.039634644354336376,0.8951630921779323
29,sub-10,80,1.0,0.034019655643308486,0.8951630921779323
43,sub-01,1,0.41026546403753544,0.5108662260792053,0.8614529889327767
43,sub-01,2,0.5163374184457764,0.2593072875613381,0.8614529889327767
43,sub-01,5,0.6966684968214344,0.11745654918381207,0.8614529889327767
43,sub-01,10,0.8155915889436623,0.06578241587899425,0.8614529889327767
43,sub-01,20,0.9030805936597217,0.04342769749929964,0.8614529889327767
43,sub-01,40,0.9649666969151138,0.030274433152421117,0.8614529889327767
43,sub-01,80,1.0,0.02374816738674125,0.8614529889327767
43,sub-02,1,0.31309870544600116,0.44360207801820956,0.767749791254663
43,sub-02,2,0.41292250203971004,0.23667962194590883,0.767749791254663
43,sub-02,5,0.5726367460896669,0.10538230705330962,0.767749791254663
43,sub-02,10,0.7242532616472253,0.058160261517880514,0.767749791254663
43,sub-02,20,0.8478026210449794,0.03584304745518217,0.767749791254663
43,sub-02,40,0.9388000915192294,0.02466296365183952,0.767749791254663
43,sub-02,80,1.0,0.01922235717993656,0.767749791254663
43,sub-03,1,0.4447470855344274,0.4325076621731358,0.8964050337183588
43,sub-03,2,0.5797247552819691,0.22693789528265343,0.8964050337183588
43,sub-03,5,0.7458107883916131,0.1015042615998604,0.8964050337183588
43,sub-03,10,0.8545442622218238,0.060739651130605955,0.8964050337183588
43,sub-03,20,0.9308456008324351,0.04043285824257999,0.8964050337183588
43,sub-03,40,0.9747562911640256,0.03101029763880946,0.8964050337183588
43,sub-03,80,1.0,0.02616935801666064,0.8964050337183588
43,sub-04,1,0.3879761262299978,0.3642257739533773,0.8451335648370977
43,sub-04,2,0.49072200416597256,0.19954369694818536,0.8451335648370977
43,sub-04,5,0.679131729977874,0.09152445433445401,0.8451335648370977
43,sub-04,10,0.7944882401281447,0.05625379014555323,0.8451335648370977
43,sub-04,20,0.8958673781221015,0.03675421190234274,0.8451335648370977
43,sub-04,40,0.9617363723462682,0.02723636542216952,0.8451335648370977
43,sub-04,80,1.0,0.022797916905489355,0.8451335648370977
43,sub-05,1,0.33349743288118566,0.6076230608037044,0.8107999982252765
43,sub-05,2,0.4571678780470873,0.3079129591408285,0.8107999982252765
43,sub-05,5,0.6344980094845363,0.1386071135046385,0.8107999982252765
43,sub-05,10,0.7572795481851494,0.08192541100420604,0.8107999982252765
43,sub-05,20,0.8740698067431092,0.05142332428921611,0.8107999982252765
43,sub-05,40,0.9519330825673069,0.03668300259657201,0.8107999982252765
43,sub-05,80,1.0,0.029007319371399165,0.8107999982252765
43,sub-06,1,0.3802619046331219,0.4935270648686271,0.83877728871796
43,sub-06,2,0.47734183784982337,0.2585879854000948,0.83877728871796
43,sub-06,5,0.6633316252295657,0.11505724515325884,0.83877728871796
43,sub-06,10,0.7971792589924017,0.06844438238592791,0.83877728871796
43,sub-06,20,0.8946344214700298,0.04485358599294327,0.83877728871796
43,sub-06,40,0.9603938511779291,0.03288700240101891,0.83877728871796
43,sub-06,80,1.0,0.027047105893481128,0.83877728871796
43,sub-07,1,0.44852118793353823,0.513133356552369,0.8944921711644848
43,sub-07,2,0.5860645119999252,0.2610865374187482,0.8944921711644848
43,sub-07,5,0.7461054837892456,0.1327966979116428,0.8944921711644848
43,sub-07,10,0.8536741323993844,0.07650837737244044,0.8944921711644848
43,sub-07,20,0.9277148289990823,0.053692095711999524,0.8944921711644848
43,sub-07,40,0.9740850897970713,0.042090395239838624,0.8944921711644848
43,sub-07,80,1.0,0.03579473846307866,0.8944921711644848
43,sub-08,1,0.44395765398372716,0.4960460380827131,0.8888210347322303
43,sub-08,2,0.547312129435452,0.284658590035894,0.8888210347322303
43,sub-08,5,0.7346665727727217,0.1297674265963069,0.8888210347322303
43,sub-08,10,0.8471440314365387,0.08245835577015721,0.8888210347322303
43,sub-08,20,0.9220360710637078,0.05845339337992189,0.8888210347322303
43,sub-08,40,0.9722542009093186,0.04629490067452765,0.8888210347322303
43,sub-08,80,1.0,0.040784817459620724,0.8888210347322303
43,sub-09,1,0.25458484212709637,0.5791603080864134,0.6852914912966565
43,sub-09,2,0.3598265114951289,0.2718275549043889,0.6852914912966565
43,sub-09,5,0.5301818949107558,0.11802789980103849,0.6852914912966565
43,sub-09,10,0.6627153357677339,0.0651301630856505,0.6852914912966565
43,sub-09,20,0.8035631060839262,0.04003154270636184,0.6852914912966565
43,sub-09,40,0.9196263985145271,0.026285555998049305,0.6852914912966565
43,sub-09,80,1.0,0.019558065399864266,0.6852914912966565
43,sub-10,1,0.4512149339599857,0.49452448588658676,0.8951630921779323
43,sub-10,2,0.5676359547934393,0.26508407742953927,0.8951630921779323
43,sub-10,5,0.7481869960856155,0.11975730983333878,0.8951630921779323
43,sub-10,10,0.8546924483722869,0.0724143123315633,0.8951630921779323
43,sub-10,20,0.9266483847845757,0.052922144883750764,0.8951630921779323
43,sub-10,40,0.9739642103969102,0.03975686711962102,0.8951630921779323
43,sub-10,80,1.0,0.03401965564330849,0.8951630921779323
71,sub-01,1,0.4180736335936131,0.4702634302577249,0.8614529889327767
71,sub-01,2,0.5290980383663971,0.25814423542382586,0.8614529889327767
71,sub-01,5,0.692648395696328,0.11420130534421599,0.8614529889327767
71,sub-01,10,0.8096725808758195,0.06980296015132881,0.8614529889327767
71,sub-01,20,0.9048693878356172,0.04163135359268624,0.8614529889327767
71,sub-01,40,0.9657501232994637,0.030256916285014597,0.8614529889327767
71,sub-01,80,1.0,0.02374816738674125,0.8614529889327767
71,sub-02,1,0.29808018766003586,0.4672554911552306,0.767749791254663
71,sub-02,2,0.40140089027214165,0.2312051128376199,0.767749791254663
71,sub-02,5,0.5821252557324404,0.10077722827357707,0.767749791254663
71,sub-02,10,0.7319442013922942,0.05732052464679939,0.767749791254663
71,sub-02,20,0.8488411201436243,0.03613190053563727,0.767749791254663
71,sub-02,40,0.9404839070918242,0.02509856345427039,0.767749791254663
