comparison,metric,participants,mean_change,sample_sd,ci_low,ci_high,sign_flip_p,paired_effect_dz,holm_p
dinov2_minus_cornet-s,top1_accuracy,10,-0.030000000000000006,0.01850525450904267,-0.0410025,-0.019300000000000005,0.001953125,-1.621161167242546,0.00390625
dinov2_minus_cornet-s,top5_accuracy,10,-0.06530000000000002,0.011643309953216338,-0.07130250000000003,-0.05790000000000002,0.001953125,-5.6083708380503605,0.00390625
